userId,userName,emailId
1,praveen,praveen@gmail.com
2,raju,raju.6@gmail.com
3,sushree,sush@gmail.com
4,naveen,naveen.123@yahoo.com
5,keerthika,keerthi.9@gmail.com
6,sailesh,sai@gmail.com
7,pushkar,push.009@gmail.com
8,datta,sivdatta5@gmail.com
9,anil,anil4@gmail.com
10,ankitha,ankitha123@gmail.com
11,suresh,bro@yahoo.com
12,krishna,krish@gmail.com
13,preethi,pt423@gmail.com
14,pinky,pinky@gmail.com
15,inky,inky@gmail.com
16,ponky,ponky@gmail.com
17,sushrith,sushrith@gmail.com
18,nithin,nithin@gmail.com
19,jithin,jithin@gmail.com
20,ram,ram@yahoo.com
21,shyam,shyam@gmail.com
22,kiran,kiran@gmail.com
23,dinesh,dinesh@gmail.com
24,srinu,srinu@mail.com
25,shiva,shiva@gmail.com
26,varma,varma@gmail.com
27,pranay,pranay@yahoo.com
28,mansi,mansi@gmail.com
29,afreen,afreen@yahoo.com
30,jayashree,jayashree@gmail.com
31,rakesh,rakesh@yahoo.com
32,sruthi,sruthi@gmail.com
33,atul,atul@yahoo.com
34,shivaKumar,shiva@gmail.com
35,adithya,adithaya@gmail.com
36,aniketh,aniketh@gmail.com
37,pandu,pandu@yahoo.com
38,jyothi,jyothi@gmail.com
39,ramya,ramya@gmail.com
40,megha,megha@gmail.com
41,kittu,kit2@gmail.com
42,chandu,chandu@gmail.com
43,ramraj,ramu6789@gmail.com
44,premila,premi@yahoo.com
45,parvathi,paru@yahoo.com
46,vijaya,vijaya@yahoo.com
47,latha,latha@yahoo.com
48,sweety,sweety345@gmail.com
49,priyanka,priya3@gmail.com
50,Manasa,manasa@yahoo.com
51,Sairam,sairam@yahoo.com
52,samreesh,samreesh@yahoo.com
53,sravya,sravya@gmail.com
54,Aparna,aparna@gmail.com
55,Kumudini,kumudini@yahoo.com
56,kiranmai,kiranmai@yahoo.com
57,indu,indu@yahoo.com
58,jyothirmai,jyothirmai@gmail.com
59,deepithi,deepuu@yahoo.com
60,saranya,saranya@gmail.com
